"商品コード","出荷実績確定日","出荷数","受注番号","出荷区分","出荷ID","届け先名"
"SPC-CG","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"SPC-CM","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"SPC-FN","2024/10/24","1","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"SPC-LG","2024/10/24","3","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"TS-HGC-BZ","2024/10/24","4","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"ZLGC-ST","2024/10/24","4","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"ZSC-ST","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"ZSHC-ST","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"ZXC-PE","2024/10/24","2","9000013825(1)","工場","59940(559)","株式会社積水化成品東部 佐倉事業所様"
"MNC-LG","2024/10/24","5","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"MNC-PK","2024/10/24","1","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"MXC-BG","2024/10/24","2","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"MXC-GR","2024/10/24","4","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"MXC-MN","2024/10/24","5","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"MXC-RN","2024/10/24","1","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"RLC-BK","2024/10/24","1","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"SPC-BL","2024/10/24","1","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"SPC-FN","2024/10/24","1","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"TS-HGC-BZ","2024/10/24","1","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"ZPDC-PB","2024/10/24","2","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"ZPMC-SK","2024/10/24","2","9000013826(1)","工場","59940(559)","株式会社積水化成品北海道様"
"LGC-BL","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"LGC-TQ","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"MNC-BL","2024/10/24","7","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"MNC-LG","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"MNC-OG","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"MNC-TQ","2024/10/24","3","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"MXC-CB","2024/10/24","2","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"PDC-PK","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"PDC-YC","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"PMC-RD","2024/10/24","2","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
"PMC-YC","2024/10/24","1","9000013827(1)","工場","59940(559)","大西化成株式会社 宮田工場様"
